route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
121,"121","Union/Streeterville Express",3,http://www.transitchicago.com/bus/121/,b71234,ffffff
124,"124","Navy Pier",3,http://www.transitchicago.com/bus/124/,99999C,ffffff
125,"125","Water Tower Express",3,http://www.transitchicago.com/bus/125/,b71234,ffffff
126,"126","Jackson",3,http://www.transitchicago.com/bus/126/,99999C,ffffff
134,"134","Stockton/LaSalle Express",3,http://www.transitchicago.com/bus/134/,b71234,ffffff
135,"135","Clarendon/LaSalle Express",3,http://www.transitchicago.com/bus/135/,b71234,ffffff
136,"136","Sheridan/LaSalle Express",3,http://www.transitchicago.com/bus/136/,b71234,ffffff
143,"143","Stockton/Michigan Express",3,http://www.transitchicago.com/bus/143/,b71234,ffffff
146,"146","Inner Lake Shore/Michigan Express",3,http://www.transitchicago.com/bus/146/,b71234,ffffff
147,"147","Outer DuSable Lake Shore Express",3,http://www.transitchicago.com/bus/147/,b71234,ffffff
148,"148","Clarendon/Michigan Express",3,http://www.transitchicago.com/bus/148/,b71234,ffffff
151,"151","Sheridan",3,http://www.transitchicago.com/bus/151/,99999C,ffffff
152,"152","Addison",3,http://www.transitchicago.com/bus/152/,99999C,ffffff
155,"155","Devon",3,http://www.transitchicago.com/bus/155/,99999C,ffffff
156,"156","LaSalle",3,http://www.transitchicago.com/bus/156/,99999C,ffffff
157,"157","Streeterville/Taylor",3,http://www.transitchicago.com/bus/157/,99999C,ffffff
165,"165","West 65th",3,http://www.transitchicago.com/bus/165/,99999C,ffffff
169,"169","69th/UPS Express",3,http://www.transitchicago.com/bus/169/,99999C,ffffff
171,"171","U. of Chicago/Hyde Park",3,http://www.transitchicago.com/bus/171/,b71234,ffffff
172,"172","U. of Chicago/Kenwood",3,http://www.transitchicago.com/bus/172/,99999C,ffffff
192,"192","University of Chicago Hospitals Express",3,http://www.transitchicago.com/bus/192/,99999C,ffffff
201,"201","Central/Ridge",3,http://www.transitchicago.com/bus/201/,99999C,ffffff
206,"206","Evanston Circulator",3,http://www.transitchicago.com/bus/206/,99999C,ffffff
Red,"","Red Line",1,http://www.transitchicago.com/redline/,C60C30,FFFFFF
P,"","Purple Line",1,http://www.transitchicago.com/purpleline/,522398,FFFFFF
Y,"","Yellow Line",1,http://www.transitchicago.com/yellowline/,F9E300,000000
Blue,"","Blue Line",1,http://www.transitchicago.com/blueline/,00A1DE,FFFFFF
Pink,"","Pink Line",1,http://www.transitchicago.com/pinkline/,E27EA6,FFFFFF
G,"","Green Line",1,http://www.transitchicago.com/greenline/,009B3A,FFFFFF
Org,"","Orange Line",1,http://www.transitchicago.com/orangeline/,F9461C,FFFFFF
Brn,"","Brown Line",1,http://www.transitchicago.com/brownline/,62361B,FFFFFF
